Intel,core i9 9900KS,8/16,4.0,5.0,127,70000
Intel,core i9 9900K,8/16,3.6,5.0,95,60000
Intel,core i9 9900KF,8/16,3.6,5.0,95,60000
Intel,core i9 9900,8/16,3.1,5.0,65,50000
Intel,core i7 9700KF,8/8,3.6,4.9,95,45000
Intel,core i7 9700K,8/8,3.6,4.9,95,46000
Intel,core i7 9700,8/8,3.0,4.7,65,39000
Intel,core i7 9700F,8/8,3.0,4.7,65,38000
Intel,core i5 9600K,6/6,3.7,4.6,95,26000
Intel,core i5 9600KF,6/6,3.7,4.6,95,26000
Intel,core i5 9400,6/6,2.9,4.1,65,22000
Intel,core i5 9400F,6/6,2.9,4.1,65,18000
Intel,core i3 9100F,4/4,3.6,4.2,65,10000
AMD,Ryzen 9 3950X,16/32,3.5,4.7,105,100000
AMD,Ryzen 9 3900X,12/24,3.8,4.6,105,63000
AMD,Ryzen 7 3800X,8/16,3.9,4.5,105,46000
AMD,Ryzen 7 3700X,8/16,3.6,4.4,65,40000
AMD,Ryzen 5 3600X,6/12,3.8,4.4,95,33000
AMD,Ryzen 5 3600,6/12,3.6,4.2,65,26000
AMD,Ryzen 5 3400G,4/8,3.7,4.2,65,20000
AMD,Ryzen 3 3200G,4/4,3.4,4.0,65,12000
AMD,Ryzen 3 2200,4/4,3.2,3.7,65,10000
